[2025-03-12T22:12:32.990+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-12T22:12:33.023+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: data_lake_pipeline.transform_staging_to_curated manual__2025-03-12T22:11:46.999315+00:00 [queued]>
[2025-03-12T22:12:33.040+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: data_lake_pipeline.transform_staging_to_curated manual__2025-03-12T22:11:46.999315+00:00 [queued]>
[2025-03-12T22:12:33.041+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 2
[2025-03-12T22:12:33.062+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): transform_staging_to_curated> on 2025-03-12 22:11:46.999315+00:00
[2025-03-12T22:12:33.069+0000] {standard_task_runner.py:72} INFO - Started process 247 to run task
[2025-03-12T22:12:33.079+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'data_lake_pipeline', 'transform_staging_to_curated', 'manual__2025-03-12T22:11:46.999315+00:00', '--job-id', '37', '--raw', '--subdir', 'DAGS_FOLDER/data_pipeline_dag.py', '--cfg-path', '/tmp/tmpt2w2dzyh']
[2025-03-12T22:12:33.082+0000] {standard_task_runner.py:105} INFO - Job 37: Subtask transform_staging_to_curated
[2025-03-12T22:12:33.120+0000] {logging_mixin.py:190} WARNING - /usr/local/lib/python3.10/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-03-12T22:12:33.200+0000] {task_command.py:467} INFO - Running <TaskInstance: data_lake_pipeline.transform_staging_to_curated manual__2025-03-12T22:11:46.999315+00:00 [running]> on host ***-scheduler
[2025-03-12T22:12:33.335+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='data_lake_pipeline' AIRFLOW_CTX_TASK_ID='transform_staging_to_curated' AIRFLOW_CTX_EXECUTION_DATE='2025-03-12T22:11:46.999315+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-03-12T22:11:46.999315+00:00'
[2025-03-12T22:12:33.338+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-03-12T22:12:33.354+0000] {manage_buckets.py:68} INFO - [Data manager] Prefix(s) : ['test', 'train', 'validation']
[2025-03-12T22:12:33.355+0000] {manage_buckets.py:71} INFO - [Data manager] Processing data from: test
[2025-03-12T22:12:33.355+0000] {aws_s3_repository.py:35} INFO - [AWS S3] Getting list of staging's files...
[2025-03-12T22:12:33.403+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_0.txt from staging...
