[2025-03-12T22:07:45.440+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_21.txt from staging...
[2025-03-12T22:07:45.447+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_21.txt...
[2025-03-12T22:07:45.720+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_22.txt from staging...
[2025-03-12T22:07:45.730+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_22.txt...
[2025-03-12T22:07:45.920+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_23.txt from staging...
[2025-03-12T22:07:45.927+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_23.txt...
[2025-03-12T22:07:46.112+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_24.txt from staging...
[2025-03-12T22:07:46.119+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_24.txt...
[2025-03-12T22:07:46.378+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_25.txt from staging...
[2025-03-12T22:07:46.386+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_25.txt...
[2025-03-12T22:07:46.577+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_26.txt from staging...
[2025-03-12T22:07:46.586+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_26.txt...
[2025-03-12T22:07:46.767+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_27.txt from staging...
[2025-03-12T22:07:46.777+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_27.txt...
[2025-03-12T22:07:46.945+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_28.txt from staging...
[2025-03-12T22:07:46.954+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_28.txt...
[2025-03-12T22:07:47.158+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_29.txt from staging...
[2025-03-12T22:07:47.168+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_29.txt...
[2025-03-12T22:07:47.340+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_3.txt from staging...
[2025-03-12T22:07:47.349+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_3.txt...
[2025-03-12T22:07:47.530+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_30.txt from staging...
[2025-03-12T22:07:47.539+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_30.txt...
[2025-03-12T22:07:47.889+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_31.txt from staging...
[2025-03-12T22:07:47.913+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_31.txt...
[2025-03-12T22:07:48.141+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_32.txt from staging...
[2025-03-12T22:07:48.152+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_32.txt...
[2025-03-12T22:07:48.503+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_33.txt from staging...
[2025-03-12T22:07:48.512+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_33.txt...
[2025-03-12T22:07:48.698+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_34.txt from staging...
[2025-03-12T22:07:48.708+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_34.txt...
[2025-03-12T22:07:49.438+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_35.txt from staging...
[2025-03-12T22:07:49.445+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_35.txt...
[2025-03-12T22:07:49.638+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_36.txt from staging...
[2025-03-12T22:07:49.646+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_36.txt...
[2025-03-12T22:07:49.867+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_37.txt from staging...
[2025-03-12T22:07:49.878+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_37.txt...
[2025-03-12T22:07:50.045+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_38.txt from staging...
[2025-03-12T22:07:50.052+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_38.txt...
