[2025-03-12T22:13:11.164+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-12T22:13:11.195+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: data_lake_pipeline.transform_staging_to_curated manual__2025-03-12T22:06:55.248425+00:00 [queued]>
[2025-03-12T22:13:11.209+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: data_lake_pipeline.transform_staging_to_curated manual__2025-03-12T22:06:55.248425+00:00 [queued]>
[2025-03-12T22:13:11.209+0000] {taskinstance.py:2867} INFO - Starting attempt 2 of 2
[2025-03-12T22:13:11.235+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): transform_staging_to_curated> on 2025-03-12 22:06:55.248425+00:00
[2025-03-12T22:13:11.240+0000] {standard_task_runner.py:72} INFO - Started process 282 to run task
[2025-03-12T22:13:11.247+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'data_lake_pipeline', 'transform_staging_to_curated', 'manual__2025-03-12T22:06:55.248425+00:00', '--job-id', '38', '--raw', '--subdir', 'DAGS_FOLDER/data_pipeline_dag.py', '--cfg-path', '/tmp/tmpnreqjkk1']
[2025-03-12T22:13:11.249+0000] {standard_task_runner.py:105} INFO - Job 38: Subtask transform_staging_to_curated
[2025-03-12T22:13:11.296+0000] {logging_mixin.py:190} WARNING - /usr/local/lib/python3.10/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-03-12T22:13:11.366+0000] {task_command.py:467} INFO - Running <TaskInstance: data_lake_pipeline.transform_staging_to_curated manual__2025-03-12T22:06:55.248425+00:00 [running]> on host ***-scheduler
[2025-03-12T22:13:11.487+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='data_lake_pipeline' AIRFLOW_CTX_TASK_ID='transform_staging_to_curated' AIRFLOW_CTX_EXECUTION_DATE='2025-03-12T22:06:55.248425+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-03-12T22:06:55.248425+00:00'
[2025-03-12T22:13:11.493+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-03-12T22:13:11.517+0000] {manage_buckets.py:68} INFO - [Data manager] Prefix(s) : ['test', 'train', 'validation']
[2025-03-12T22:13:11.518+0000] {manage_buckets.py:71} INFO - [Data manager] Processing data from: test
[2025-03-12T22:13:11.519+0000] {aws_s3_repository.py:35} INFO - [AWS S3] Getting list of staging's files...
[2025-03-12T22:13:11.593+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_0.txt from staging...
[2025-03-12T22:13:11.604+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_0.txt...
[2025-03-12T22:13:11.886+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_1.txt from staging...
[2025-03-12T22:13:11.900+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_1.txt...
[2025-03-12T22:13:12.062+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_10.txt from staging...
[2025-03-12T22:13:12.071+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_10.txt...
[2025-03-12T22:13:12.244+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_11.txt from staging...
[2025-03-12T22:13:12.251+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_11.txt...
[2025-03-12T22:13:12.429+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_12.txt from staging...
[2025-03-12T22:13:12.438+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_12.txt...
[2025-03-12T22:13:12.616+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_13.txt from staging...
[2025-03-12T22:13:12.625+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_13.txt...
[2025-03-12T22:13:12.816+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_14.txt from staging...
[2025-03-12T22:13:12.824+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_14.txt...
[2025-03-12T22:13:12.988+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_15.txt from staging...
[2025-03-12T22:13:12.995+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_15.txt...
[2025-03-12T22:13:13.213+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_16.txt from staging...
[2025-03-12T22:13:13.221+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_16.txt...
[2025-03-12T22:13:13.426+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_17.txt from staging...
[2025-03-12T22:13:13.435+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_17.txt...
[2025-03-12T22:13:13.705+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_18.txt from staging...
[2025-03-12T22:13:13.715+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_18.txt...
[2025-03-12T22:13:13.990+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_19.txt from staging...
[2025-03-12T22:13:13.998+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_19.txt...
[2025-03-12T22:13:14.192+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_2.txt from staging...
[2025-03-12T22:13:14.201+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_2.txt...
[2025-03-12T22:13:14.431+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_20.txt from staging...
[2025-03-12T22:13:14.441+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_20.txt...
[2025-03-12T22:13:14.623+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_21.txt from staging...
[2025-03-12T22:13:14.640+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_21.txt...
[2025-03-12T22:13:14.938+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_22.txt from staging...
[2025-03-12T22:13:14.951+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_22.txt...
[2025-03-12T22:13:15.208+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_23.txt from staging...
[2025-03-12T22:13:15.230+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_23.txt...
[2025-03-12T22:13:15.409+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_24.txt from staging...
